date,description,amount,type
2024-04-22 17:00:00,LazyPay,1642.56,debit
2024-04-22 17:00:00,Simpl,2161.4,debit
2024-04-24 10:00:00,Amazon,2691.64,debit
2024-04-26 00:00:00,Spotify,148.23,debit
2024-04-26 06:00:00,MedPlus,775.51,debit
2024-04-26 23:00:00,Uber,776.29,debit
2024-04-29 00:00:00,PhonePe,246.3,debit
2024-04-29 00:00:00,LazyPay,565.47,debit
2024-04-29 16:00:00,Amazon,4554.57,debit
2024-04-30 05:00:00,Swiggy,661.93,debit
2024-05-01 10:00:00,Electricity Board,2793.08,debit
2024-05-02 12:00:00,Google Pay,5435.78,debit
2024-05-02 18:00:00,IRCTC,3688.82,debit
2024-05-03 10:00:00,Netflix,315.01,debit
2024-05-05 15:00:00,Uber,797.39,debit
2024-05-05 21:00:00,Simpl,976.29,debit
2024-05-06 11:00:00,Jio Recharge,583.47,debit
2024-05-07 14:00:00,Mutual Fund SIP,3795.45,debit
2024-05-08 12:00:00,BookMyShow,1883.9,debit
2024-05-09 13:00:00,PhonePe,3545.39,debit
2024-05-09 14:00:00,MakeMyTrip,21229.79,debit
2024-05-09 21:00:00,Paytm,3482.32,debit
2024-05-11 19:00:00,Electricity Board,1664.99,debit
2024-05-12 02:00:00,Amazon,4642.27,debit
2024-05-12 07:00:00,Electricity Board,4365.71,debit
2024-05-12 11:00:00,BookMyShow,987.52,debit
2024-05-12 14:00:00,Mutual Fund SIP,1792.53,debit
2024-05-13 08:00:00,Amazon,3946.58,debit
2024-05-14 07:00:00,Flipkart,2416.96,debit
2024-05-14 10:00:00,Simpl,701.35,debit
2024-05-14 16:00:00,Airtel Recharge,945.83,debit
2024-05-15 20:00:00,Netflix,562.78,debit
2024-05-16 22:00:00,Swiggy,631.38,debit
2024-05-17 08:00:00,PhonePe,4721.23,debit
2024-05-17 09:00:00,Jio Recharge,802.19,debit
2024-05-18 21:00:00,MedPlus,1306.61,debit
2024-05-19 07:00:00,Salary Credit,53663.07,credit
2024-05-20 20:00:00,PhonePe,7255.64,debit
2024-05-20 21:00:00,IRCTC,2537.65,debit
2024-05-21 02:00:00,Paytm,1348.06,debit
2024-05-21 20:00:00,LazyPay,979.07,debit
2024-05-23 01:00:00,Google Pay,671.55,debit
2024-05-25 03:00:00,Apollo Pharmacy,1373.82,debit
2024-05-25 21:00:00,Paytm,2497.15,debit
2024-05-25 23:00:00,Electricity Board,947.28,debit
2024-05-26 11:00:00,Simpl,268.11,debit
2024-05-26 13:00:00,Spotify,165.62,debit
2024-05-26 23:00:00,IRCTC,658.43,debit
2024-05-27 12:00:00,Electricity Board,2279.87,debit
2024-05-29 21:00:00,Swiggy,887.07,debit
2024-05-31 19:00:00,Mutual Fund SIP,4887.15,debit
2024-06-01 19:00:00,Car Loan EMI,15893.17,debit
2024-06-02 02:00:00,Flipkart,1393.55,debit
2024-06-02 10:00:00,Jio Recharge,380.19,debit
2024-06-03 02:00:00,Amazon,5787.79,debit
2024-06-03 03:00:00,Airtel Recharge,277.77,debit
2024-06-05 18:00:00,Spotify,151.01,debit
2024-06-05 19:00:00,Amazon,699.04,debit
2024-06-05 23:00:00,LazyPay,760.91,debit
2024-06-06 05:00:00,Home Loan EMI,31958.53,debit
2024-06-06 20:00:00,Spotify,159.58,debit
2024-06-06 21:00:00,Spotify,120.66,debit
2024-06-07 15:00:00,Zomato,651.22,debit
2024-06-07 21:00:00,PhonePe,2618.4,debit
2024-06-08 00:00:00,Amazon,2639.41,debit
2024-06-08 05:00:00,Simpl,1271.79,debit
2024-06-08 09:00:00,Spotify,178.49,debit
2024-06-09 04:00:00,Home Loan EMI,24925.87,debit
2024-06-09 09:00:00,Apollo Pharmacy,1751.33,debit
2024-06-10 00:00:00,Airtel Recharge,416.32,debit
2024-06-11 00:00:00,Home Loan EMI,42645.89,debit
2024-06-11 16:00:00,Flipkart,6358.1,debit
2024-06-12 23:00:00,Amazon,6573.9,debit
2024-06-13 07:00:00,MakeMyTrip,21219.41,debit
2024-06-14 08:00:00,MedPlus,1612.38,debit
2024-06-14 10:00:00,Jio Recharge,392.55,debit
2024-06-14 12:00:00,Salary Credit,76231.41,credit
2024-06-15 20:00:00,Uber,390.85,debit
2024-06-16 15:00:00,MakeMyTrip,19679.11,debit
2024-06-17 15:00:00,Uber,613.75,debit
2024-06-18 02:00:00,Spotify,189.94,debit
2024-06-18 03:00:00,Uber,696.08,debit
2024-06-19 03:00:00,Netflix,529.62,debit
2024-06-19 18:00:00,PhonePe,1459.22,debit
2024-06-21 08:00:00,PhonePe,3262.51,debit
2024-06-22 05:00:00,Netflix,617.41,debit
2024-06-23 07:00:00,Uber,345.37,debit
2024-06-23 17:00:00,MedPlus,1624.29,debit
2024-06-24 19:00:00,BookMyShow,2085.79,debit
2024-06-25 15:00:00,IRCTC,4973.92,debit
2024-06-25 18:00:00,Google Pay,1596.51,debit
2024-06-25 22:00:00,Google Pay,3161.28,debit
2024-06-25 23:00:00,Jio Recharge,867.33,debit
2024-06-27 03:00:00,Airtel Recharge,796.13,debit
2024-06-27 05:00:00,MedPlus,144.94,debit
2024-06-29 03:00:00,Ola,789.66,debit
2024-06-29 13:00:00,Swiggy,1062.46,debit
2024-06-29 16:00:00,Mutual Fund SIP,555.95,debit
